line,hyp.length,plate,chamber,light
elf3.1,2.602,C2,W,shade
elf3.1,3.796,C2,W,shade
elf3.1,3.772,C2,W,shade
elf3.1,2.459,C2,W,shade
elf3.1,2.828,C2,W,shade
elf3.1,2.756,C2,W,shade
elf3.1,3.001,C2,W,shade
elf3.1,3.18,C2,W,shade
elf3.1,3.41,C2,W,shade
elf3.1,3.358,C2,W,shade
elf3.1,2.207,C2,W,shade
elf3.1,3.758,C2,W,shade
elf3.1,2.246,C2,W,shade
elf3.1,2.694,C2,W,shade
elf3.1,2.309,C2,W,shade
elf3.1,3.595,C2,W,shade
elf3.1,2.822,C2,W,shade
elf3.1,3.206,C2,W,shade
bay,4.916,C2,W,shade
bay,2.344,C2,W,shade
bay,3.137,C2,W,shade
bay,2.404,C2,W,shade
bay,3.065,C2,W,shade
bay,2.573,C2,W,shade
bay,3.169,C2,W,shade
bay,2.374,C2,W,shade
bay,3.062,C2,W,shade
bay,3.985,C2,W,shade
bay,3.092,C2,W,shade
bay,3.513,C2,W,shade
bay,2.068,C2,W,shade
bay,3.599,C2,W,shade
bay,3.093,C2,W,shade
bay,1.898,C2,W,shade
bay,2.226,C2,W,shade
bay,2.025,C2,W,shade
bay,2.569,C2,W,shade
bay,2.044,C2,W,shade
bay,3.828,C2,W,shade
bay,3.018,C2,W,shade
SSS1,1.878,18,W,shade
SSS1,2.196,18,W,shade
SSS1,2.62,18,W,shade
SSS1,3.274,18,W,shade
SSS1,2.645,18,W,shade
SSS1,2.187,18,W,shade
SSS1,2.316,18,W,shade
SSS1,2.68,18,W,shade
SSS1,3.518,18,W,shade
SSS1,2.164,18,W,shade
SSS1,2.278,18,W,shade
SSS1,3.016,18,W,shade
SSS1,2.642,18,W,shade
SSS1,2.295,18,W,shade
SSS1,3.166,18,W,shade
SSS1,2.797,18,W,shade
SSS2,1.299,9,W,sun
SSS2,2.222,9,W,sun
SSS2,2.108,9,W,sun
SSS2,3.375,9,W,sun
SSS2,2.954,9,W,sun
SSS2,2.364,9,W,sun
SSS2,2.222,9,W,sun
SSS2,4.501,9,W,sun
SSS2,2.086,9,W,sun
SSS2,2.128,9,W,sun
SSS2,2.753,9,W,sun
SSS2,2.072,9,W,sun
SSS2,3.622,9,W,sun
SSS2,3.534,9,W,sun
SSS2,4.693,9,W,sun
SSS2,3.835,9,W,sun
SSS2,2.269,9,W,sun
SSS2,5.206,9,W,sun
SSS2,3.615,9,W,sun
SSS2,3.615,9,W,sun
SSS3,3.252,57,W,sun
SSS3,4.412,57,W,sun
SSS3,4.325,57,W,sun
SSS3,0.368,57,W,sun
SSS3,4.791,57,W,sun
SSS3,5.205,57,W,sun
SSS3,5.551,57,W,sun
SSS3,4.91,57,W,sun
SSS3,3.611,57,W,sun
SSS3,4.535,57,W,sun
SSS3,5.976,57,W,sun
SSS3,4.61,57,W,sun
SSS3,3.299,57,W,sun
SSS3,3.499,57,W,sun
SSS3,4.419,57,W,sun
BSB2,5.642,7,W,sun
BSB2,4.633,7,W,sun
BSB2,5.581,7,W,sun
BSB2,4.672,7,W,sun
BSB2,6.418,7,W,sun
BSB2,3.78,7,W,sun
BSB2,5.639,7,W,sun
BSB2,4.883,7,W,sun
BSB2,5.519,7,W,sun
BSB2,5.159,7,W,sun
BSB2,4.99,7,W,sun
BSB2,4.146,7,W,sun
BSB2,2.098,7,W,sun
BSB2,2.038,7,W,sun
BSB2,2.637,7,W,sun
BSB2,2.039,7,W,sun
BSB2,2.18,7,W,sun
BSB2,4.986,7,W,sun
BSB2,2.094,7,W,sun
BSB2,2.443,7,W,sun
BSB2,4.578,7,W,sun
BSB2,4.808,7,W,sun
BSB2,3.833,7,W,sun
SSS1,1.333,10,W,sun
SSS1,1.515,10,W,sun
SSS1,1.401,10,W,sun
SSS1,3.4,10,W,sun
SSS1,2.124,10,W,sun
SSS1,1.463,10,W,sun
SSS1,1.315,10,W,sun
SSS1,1.446,10,W,sun
SSS1,1.103,10,W,sun
SSS1,1.352,10,W,sun
SSS1,1.933,10,W,sun
SSS1,1.761,10,W,sun
SSS1,1.51,10,W,sun
SSS1,1.87,10,W,sun
SSS1,1.319,10,W,sun
SSS1,2.031,10,W,sun
SSS1,2.877,10,W,sun
BBB1,1.588,26,W,shade
BBB1,2.995,26,W,shade
BBB1,1.671,26,W,shade
BBB1,2.144,26,W,shade
BBB1,1.549,26,W,shade
BBB1,1.006,26,W,shade
BBB1,1.849,26,W,shade
BBB1,2.153,26,W,shade
BBS4,1.604,11,W,sun
BBS4,1.862,11,W,sun
