population,gender,coffee,computer,shower,beer,tacos,age
hippie,female,1,1,8,0,8,17
nerd,female,2,13,7,0,4,17
nerd,female,6,40,8,0,5,17
nerd,female,3,41,10,0,6,17
nerd,female,15,42,9,0,11,17
nerd,female,6,42,9,0,6,17
nerd,female,3,50,9,0,3,17
nerd,female,12,53,9,0,7,17
nerd,female,0,53,12,0,3,17
nerd,female,3,55,10,0,8,17
nerd,female,6,68,9,0,2,18
nerd,female,4,72,9,0,1,18
hippie,female,1,0,14,1,12,18
hippie,female,10,1,1,1,9,18
hippie,female,3,3,5,1,11,18
nerd,female,7,7,13,1,6,18
nerd,female,4,12,9,1,5,18
nerd,female,6,16,9,1,6,18
nerd,female,4,26,12,1,8,18
nerd,female,4,36,9,1,5,18
nerd,female,5,39,11,1,7,23
hipster,female,12,44,9,1,13,23
nerd,female,8,44,9,1,8,23
nerd,female,8,44,11,1,6,23
nerd,male,10,46,11,1,7,23
nerd,female,6,48,10,1,13,23
nerd,female,4,48,10,1,6,23
nerd,female,2,49,8,1,7,23
nerd,female,3,50,16,1,9,23
nerd,female,3,51,11,1,3,23
nerd,female,2,56,10,1,6,23
nerd,female,12,57,11,1,6,19
nerd,female,2,58,10,1,2,19
nerd,female,3,59,10,1,7,19
nerd,female,7,59,6,1,7,19
nerd,female,9,59,9,1,2,19
nerd,female,4,60,9,1,3,19
nerd,female,1,65,13,1,1,24
nerd,female,5,69,12,1,10,24
nerd,female,2,69,7,1,2,24
nerd,female,4,78,13,1,8,24
nerd,female,1,88,10,1,6,24
nerd,female,7,95,9,1,6,24
hippie,female,7,2,3,2,10,19
hippie,female,4,3,1,2,9,19
hippie,female,2,3,10,2,7,19
hippie,female,0,4,5,2,9,19
hippie,female,3,4,8,2,8,20
hippie,female,4,8,7,2,11,20
nerd,female,7,28,15,2,6,20
nerd,female,7,33,10,2,2,20
nerd,female,0,35,13,2,7,20
nerd,male,7,37,8,2,17,20
nerd,female,6,38,11,2,3,20
nerd,female,12,39,10,2,6,20
nerd,female,9,40,8,2,8,20
nerd,female,14,40,8,2,4,20
nerd,female,8,41,7,2,5,20
nerd,male,1,43,7,2,8,20
nerd,female,2,43,13,2,8,20
nerd,female,2,44,7,2,5,20
nerd,male,3,47,9,2,18,20
nerd,female,3,47,7,2,9,20
nerd,female,3,47,11,2,5,20
nerd,female,5,49,10,2,5,20
nerd,female,11,50,13,2,7,20
nerd,male,11,52,9,2,13,20
nerd,male,9,53,6,2,7,20
nerd,female,0,54,11,2,9,20
nerd,female,6,55,9,2,4,20
nerd,female,0,56,11,2,7,20
nerd,female,1,59,8,2,3,20
nerd,female,7,59,12,2,2,20
nerd,female,5,66,11,2,6,20
nerd,female,12,67,11,2,11,20
nerd,female,4,67,8,2,10,20
nerd,female,8,67,10,2,1,20
nerd,female,2,71,12,2,2,20
nerd,female,1,77,11,2,3,20
hippie,female,11,1,14,3,7,20
hippie,female,4,2,8,3,9,20
hippie,female,10,4,2,3,10,18
hippie,female,3,4,5,3,7,18
hippie,female,5,5,4,3,12,18
hippie,female,2,8,6,3,8,18
hippie,female,8,9,4,3,13,18
hippie,female,10,9,8,3,11,18
metalhead,female,14,10,9,3,18,27
hippie,female,3,11,6,3,4,24
nerd,female,7,22,9,3,7,24
nerd,female,1,23,11,3,5,24
nerd,female,4,28,9,3,8,24
nerd,male,7,33,9,3,19,24
nerd,male,0,34,8,3,6,24
nerd,male,3,39,7,3,20,24
nerd,female,8,43,11,3,12,24
nerd,female,20,44,10,3,1,25
nerd,female,5,46,12,3,0,25
nerd,female,10,47,9,3,6,25
nerd,female,6,47,8,3,3,25
nerd,female,6,49,9,3,2,25
nerd,male,0,50,10,3,13,25
nerd,female,5,51,9,3,0,25
nerd,male,2,52,12,3,18,26
nerd,male,14,53,9,3,10,26
nerd,female,13,53,8,3,7,26
nerd,male,2,54,7,3,15,26
nerd,female,3,54,8,3,9,26
nerd,female,11,54,8,3,6,26
nerd,female,12,56,10,3,2,26
nerd,female,5,57,10,3,8,27
nerd,male,5,58,6,3,14,27
nerd,female,1,59,11,3,3,27
nerd,female,9,65,7,3,10,27
nerd,female,8,67,9,3,6,27
nerd,female,13,74,11,3,10,21
hippie,female,10,2,5,4,10,22
hippie,female,4,3,2,4,10,23
metalhead,female,12,7,7,4,17,26
hippie,female,9,7,5,4,11,25
hippie,female,7,10,6,4,7,26
metalhead,female,9,11,9,4,18,27
hippie,female,6,11,9,4,9,24
metalhead,female,11,20,7,4,14,27
hippie,male,7,21,4,4,15,21
nerd,female,2,28,13,4,6,21
nerd,male,7,30,5,4,14,22
nerd,male,11,32,6,4,10,23
nerd,male,3,32,8,4,4,24
nerd,female,4,36,9,4,10,25
nerd,male,6,39,12,4,14,26
hipster,female,25,39,9,4,12,27
nerd,male,8,41,8,4,10,21
nerd,male,10,44,12,4,18,21
nerd,male,5,45,12,4,16,22
nerd,female,4,47,8,4,6,23
nerd,male,29,48,7,4,13,24
nerd,male,8,48,11,4,10,25
nerd,male,2,48,7,4,9,26
nerd,male,1,49,6,4,14,27
nerd,male,18,50,5,4,14,21
nerd,male,10,51,11,4,14,21
nerd,female,2,51,8,4,6,22
nerd,male,17,53,9,4,15,23
nerd,female,4,53,10,4,3,24
nerd,male,10,54,10,4,16,25
nerd,male,10,54,10,4,12,26
nerd,female,8,55,8,4,1,27
nerd,male,4,56,7,4,11,21
nerd,female,6,56,10,4,6,21
nerd,male,12,57,9,4,16,22
nerd,male,0,58,10,4,13,23
nerd,female,4,59,8,4,6,24
nerd,male,11,59,6,4,1,25
nerd,male,2,60,10,4,17,26
nerd,female,4,60,10,4,5,27
nerd,female,3,64,10,4,6,21
nerd,female,11,64,11,4,5,21
nerd,male,8,67,9,4,3,22
nerd,male,3,73,9,4,23,23
hippie,female,5,2,1,5,9,24
hippie,female,13,3,2,5,12,25
hippie,male,9,6,4,5,13,26
hippie,female,4,6,9,5,11,27
hippie,male,8,12,1,5,15,21
metalhead,female,13,13,4,5,18,21
nerd,male,1,28,7,5,6,22
nerd,male,9,34,7,5,10,23
nerd,male,10,35,10,5,12,24
nerd,male,0,39,13,5,14,25
nerd,male,5,39,8,5,12,26
nerd,male,14,41,10,5,19,27
nerd,male,7,42,14,5,14,26
hipster,female,21,43,10,5,18,26
hipster,female,25,43,12,5,16,26
nerd,male,6,47,12,5,11,26
nerd,male,16,47,8,5,10,26
nerd,male,4,48,10,5,15,26
nerd,male,11,50,8,5,5,26
nerd,male,10,51,11,5,18,26
nerd,male,1,51,10,5,14,26
nerd,male,25,54,8,5,11,26
nerd,male,1,54,9,5,10,26
nerd,male,19,55,9,5,21,26
nerd,male,3,56,10,5,16,26
nerd,male,13,57,8,5,15,26
nerd,female,6,58,5,5,8,26
nerd,male,3,59,13,5,16,26
nerd,male,12,60,10,5,16,26
nerd,female,11,62,15,5,1,25
nerd,female,6,63,7,5,9,25
nerd,male,0,65,10,5,6,25
nerd,female,1,77,6,5,6,25
nerd,female,7,83,12,5,6,25
